cod_ibge;municipio;uf;local_mapa;latitude;longitude
5100102;Acorizal;MT;Acorizal, MT, Brasil;-15,194;-56,3632
5100250;Alta Floresta;MT;Alta Floresta, MT, Brasil;-9,86674;-56,0867
5100300;Alto Araguaia;MT;Alto Araguaia, MT, Brasil;-17,3153;-53,2181
5100359;Alto Boa Vista;MT;Alto Boa Vista, MT, Brasil;-11,6732;-51,3883
5100409;Alto Garças;MT;Alto Garças, MT, Brasil;-16,9462;-53,5272
5100508;Alto Paraguai;MT;Alto Paraguai, MT, Brasil;-14,5137;-56,4776
5100607;Alto Taquari;MT;Alto Taquari, MT, Brasil;-17,8241;-53,2792
5100805;Apiacás;MT;Apiacás, MT, Brasil;-9,53981;-57,4587
5101001;Araguaiana;MT;Araguaiana, MT, Brasil;-15,7291;-51,8341
5101209;Araguainha;MT;Araguainha, MT, Brasil;-16,857;-53,0318
5101258;Araputanga;MT;Araputanga, MT, Brasil;-15,4641;-58,3425
5101308;Arenápolis;MT;Arenápolis, MT, Brasil;-14,4472;-56,8437
5101407;Aripuanã;MT;Aripuanã, MT, Brasil;-10,1723;-59,4568
5101704;Barra do Bugres;MT;Barra do Bugres, MT, Brasil;-15,0702;-57,1878
5101803;Barra do Garças;MT;Barra do Garças, MT, Brasil;-15,8804;-52,264
5101605;Barão de Melgaço;MT;Barão de Melgaço, MT, Brasil;-16,2067;-55,9623
5101837;Boa Esperança do Norte;MT;Boa Esperança do Norte, MT, Brasil;-13,5067;-55,1486
5101852;Bom Jesus do Araguaia;MT;Bom Jesus do Araguaia, MT, Brasil;-12,1706;-51,5032
5101902;Brasnorte;MT;Brasnorte, MT, Brasil;-12,1474;-57,9833
5102603;Campinápolis;MT;Campinápolis, MT, Brasil;-14,5162;-52,893
5102637;Campo Novo do Parecis;MT;Campo Novo do Parecis, MT, Brasil;-13,6587;-57,8907
5102678;Campo Verde;MT;Campo Verde, MT, Brasil;-15,545;-55,1626
5102686;Campos de Júlio;MT;Campos de Júlio, MT, Brasil;-13,7242;-59,2858
5102694;Canabrava do Norte;MT;Canabrava do Norte, MT, Brasil;-11,0556;-51,8209
5102702;Canarana;MT;Canarana, MT, Brasil;-13,5515;-52,2705
5102793;Carlinda;MT;Carlinda, MT, Brasil;-9,94912;-55,8417
5102850;Castanheira;MT;Castanheira, MT, Brasil;-11,1251;-58,6081
5103007;Chapada dos Guimarães;MT;Chapada dos Guimarães, MT, Brasil;-15,4643;-55,7499
5103056;Cláudia;MT;Cláudia, MT, Brasil;-11,5075;-54,8835
