cnpj;empresa;marca;grupo_economico;porte_atual
01543730000100;SOUZA CORTES ELETRO ELETRONICO LTDA ME;Souza Cortes Eletro Eletronico;OUTROS;Pequeno Porte
22382288000149;PAULO SERGIO DA SILVA LINDER;Paulo Sergio Da Silva Linder;OUTROS;Pequeno Porte
03331365000197;DOMINIO INFORMATICA LTDA;Dominio Informatica;OUTROS;Pequeno Porte
22158466000152;DONIZETE RODRIGO DE JESUS 01058152173;Donizete Rodrigo De Jesus 01058152173;OUTROS;Pequeno Porte
19671706000103;ANDERSON ALFREDO OLIARI EIRELI - ME;Anderson Alfredo Oliari;OUTROS;Pequeno Porte
12373493000194;GLOBALMT SOLUCOES DE INTERNET LTDA;Globalmt Solucoes De Internet;OUTROS;Pequeno Porte
02083126000100;ELETRONICA PANAMERICA LTDA - EPP;Eletronica Panamerica;OUTROS;Pequeno Porte
28382193000101;IDCONNECT TELECOMUNICACOES INTERNET BANDA LARGA EIRELI - ME;Idconnect Telecomunicacoes Internet Banda Larga;OUTROS;Pequeno Porte
18338635000169;WL GARCETE DA SILVA - ME;Wl Garcete Da Silva;OUTROS;Pequeno Porte
22924884000103;T C M VARELA INTERNET - ME;T C M Varela Internet;OUTROS;Pequeno Porte
15179532000105;SIDINEZ DA SILVA VERÍSSIMO - ME;Sidinez Da Silva Veríssimo;OUTROS;Pequeno Porte
08985017000157;ELENILDA GELIO BARACHO - ME;Elenilda Gelio Baracho;OUTROS;Pequeno Porte
03809794000127;NET LINK - REDE DE DADOS E INTERNET WIRELESS EIRELI - ME;Net Link - Rede De Dados E Internet Wireless;OUTROS;Pequeno Porte
15233809000130;GEILSON LIMA DE SA & CIA LTDA - ME;Geilson Lima De & Cia;OUTROS;Pequeno Porte
24787748000144;ARAGUAIA TECNOLOGIA E COMUNICACAO LTDA - EPP;Araguaia Tecnologia E Comunicacao;OUTROS;Pequeno Porte
05245502000104;MHNET TELECOMUNICAÇÕES LTDA;Mhnet Telecomunicações;OUTROS;Pequeno Porte
27343905000110;RODRIGO TORRES LOUREIRO - ME;Rodrigo Torres Loureiro;OUTROS;Pequeno Porte
13374141000116;NOVANET - PRESTADORA DE SERVIÇOS DE TELECOMUNICAÇÕES EIRELI;Novanet - Prestadora De Serviços De Telecomunicações;OUTROS;Pequeno Porte
07010673000171;VIAPLUS SERVICOS DE VALOR ADICIONADO LTDA;Viaplus Servicos De Valor Adicionado;OUTROS;Pequeno Porte
22823294000194;KBPS TELECOM EIRELI - ME;Kbps Telecom;OUTROS;Pequeno Porte
22166193000198;ALGAR (CTBC TELECOM);Algar (Ctbc Telecom);ALGAR (CTBC TELECOM);Pequeno Porte
23620414000119;MATEUS PESSOA PADILHA;Mateus Pessoa Padilha;OUTROS;Pequeno Porte
32165985000100;MEGAVIP BANDA LARGA EIRELI;Megavip Banda Larga;OUTROS;Pequeno Porte
