data;cod_ibge;cnpj;categoria;tecnologia;acessos
2019-01-01;1100015;04136373000145;Provedor regional;Fibra óptica;66
2019-01-01;1100015;04136373000145;Provedor regional;Rádio;32
2019-01-01;1100015;05206385000161;Satélite;Satélite;1
2019-01-01;1100015;05423963000111;Grande operadora;Cabo metálico (DSL);3
2019-01-01;1100015;05423963000111;Grande operadora;Fibra óptica;1
2019-01-01;1100015;05423963000111;Satélite;Satélite;23
2019-01-01;1100015;08542734000104;Provedor regional;Fibra óptica;12
2019-01-01;1100015;08542734000104;Provedor regional;Rádio;375
2019-01-01;1100015;33179565000137;Satélite;Satélite;2
2019-01-01;1100015;40432544000147;Grande operadora;Cabo metálico (DSL);1
2019-01-01;1100015;40432544000147;Satélite;Satélite;1
2019-01-01;1100015;76535764000143;Grande operadora;Cabo metálico (DSL);330
2019-01-01;1100015;76535764000143;Grande operadora;Fibra óptica;11
2019-01-01;1100023;02558157000162;Grande operadora;Fibra óptica;1
2019-01-01;1100023;05206385000161;Satélite;Satélite;7
2019-01-01;1100023;05423963000111;Grande operadora;Cabo metálico (DSL);5
2019-01-01;1100023;05423963000111;Grande operadora;Fibra óptica;1
2019-01-01;1100023;05423963000111;Satélite;Satélite;15
2019-01-01;1100023;09256492000155;Provedor regional;Fibra óptica;316
2019-01-01;1100023;09256492000155;Provedor regional;Rádio;4501
2019-01-01;1100023;17192192000188;Provedor regional;Fibra óptica;4
2019-01-01;1100023;18456569000121;Provedor regional;Rádio;234
2019-01-01;1100023;20854761000118;Satélite;Satélite;2
2019-01-01;1100023;33179565000137;Satélite;Satélite;5
2019-01-01;1100023;40432544000147;Grande operadora;Cabo metálico (DSL);25
2019-01-01;1100023;40432544000147;Grande operadora;Fibra óptica;54
2019-01-01;1100023;40432544000147;Grande operadora;Rádio;8
2019-01-01;1100023;40432544000147;Satélite;Satélite;1
2019-01-01;1100023;72843212000141;Satélite;Satélite;1
2019-01-01;1100023;76535764000143;Grande operadora;Cabo metálico (DSL);6559
2019-01-01;1100023;76535764000143;Grande operadora;Fibra óptica;56
2019-01-01;1100023;76535764000143;Grande operadora;Rádio;1
2019-01-01;1100031;05206385000161;Satélite;Satélite;1
2019-01-01;1100031;05423963000111;Satélite;Satélite;4
2019-01-01;1100031;14054640000199;Provedor regional;Rádio;86
2019-01-01;1100031;33179565000137;Satélite;Satélite;1
2019-01-01;1100031;40432544000147;Grande operadora;Fibra óptica;1
2019-01-01;1100031;76535764000143;Grande operadora;Cabo metálico (DSL);86
2019-01-01;1100049;02083126000100;Provedor regional;Fibra óptica;21
2019-01-01;1100049;02083126000100;Provedor regional;Rádio;18
2019-01-01;1100049;02558157000162;Grande operadora;Fibra óptica;1
2019-01-01;1100049;05206385000161;Satélite;Satélite;13
2019-01-01;1100049;05423963000111;Grande operadora;Cabo metálico (DSL);3
2019-01-01;1100049;05423963000111;Grande operadora;Fibra óptica;1
2019-01-01;1100049;05423963000111;Satélite;Satélite;13
2019-01-01;1100049;07304055000134;Provedor regional;Cabo coaxial;80
2019-01-01;1100049;07304055000134;Provedor regional;Cabo metálico (DSL);38
2019-01-01;1100049;07304055000134;Provedor regional;Fibra óptica;2287
2019-01-01;1100049;07304055000134;Provedor regional;Rádio;2052
2019-01-01;1100049;09443451000178;Provedor regional;Rádio;2971
2019-01-01;1100049;10563381000170;Provedor regional;Fibra óptica;211
2019-01-01;1100049;10563381000170;Provedor regional;Rádio;157
2019-01-01;1100049;10803506000192;Provedor regional;Rádio;10
2019-01-01;1100049;20854761000118;Satélite;Satélite;3
2019-01-01;1100049;23338019000148;Provedor regional;Rádio;10
2019-01-01;1100049;30777859000172;Provedor regional;Rádio;24
2019-01-01;1100049;33179565000137;Satélite;Satélite;5
2019-01-01;1100049;40432544000147;Grande operadora;Cabo metálico (DSL);2
2019-01-01;1100049;40432544000147;Grande operadora;Fibra óptica;89
2019-01-01;1100049;40432544000147;Grande operadora;Rádio;9
2019-01-01;1100049;76535764000143;Grande operadora;Cabo metálico (DSL);3398
2019-01-01;1100049;76535764000143;Grande operadora;Fibra óptica;68
2019-01-01;1100056;05011908000114;Provedor regional;Fibra óptica;92
2019-01-01;1100056;05011908000114;Provedor regional;Rádio;302
2019-01-01;1100056;05206385000161;Satélite;Satélite;1
2019-01-01;1100056;05423963000111;Grande operadora;Cabo metálico (DSL);2
2019-01-01;1100056;05423963000111;Satélite;Satélite;1
2019-01-01;1100056;14054640000199;Provedor regional;Rádio;29
2019-01-01;1100056;33179565000137;Satélite;Satélite;2
2019-01-01;1100056;40432544000147;Grande operadora;Cabo metálico (DSL);1
2019-01-01;1100056;40432544000147;Grande operadora;Fibra óptica;1
2019-01-01;1100056;76535764000143;Grande operadora;Cabo metálico (DSL);727
2019-01-01;1100056;76535764000143;Grande operadora;Fibra óptica;19
2019-01-01;1100064;05206385000161;Satélite;Satélite;1
2019-01-01;1100064;05423963000111;Grande operadora;Cabo metálico (DSL);1
2019-01-01;1100064;05423963000111;Grande operadora;Fibra óptica;1
2019-01-01;1100064;05423963000111;Satélite;Satélite;4
2019-01-01;1100064;14054640000199;Provedor regional;Rádio;715
2019-01-01;1100064;33179565000137;Satélite;Satélite;3
2019-01-01;1100064;40432544000147;Grande operadora;Cabo metálico (DSL);2
2019-01-01;1100064;40432544000147;Grande operadora;Fibra óptica;1
2019-01-01;1100064;76535764000143;Grande operadora;Cabo metálico (DSL);662
2019-01-01;1100064;76535764000143;Grande operadora;Fibra óptica;23
2019-01-01;1100072;05423963000111;Grande operadora;Cabo metálico (DSL);2
