data;cod_ibge;densidade
2026-07-01;1100015;34,38
2026-07-01;1100023;27,99
2026-07-01;1100031;47,82
2026-07-01;1100049;31,54
2026-07-01;1100056;14,31
2026-07-01;1100064;33,73
2026-07-01;1100072;24,06
2026-07-01;1100080;17,72
2026-07-01;1100098;12,98
2026-07-01;1100106;21,45
2026-07-01;1100114;36,04
2026-07-01;1100122;36,84
2026-07-01;1100130;31,96
2026-07-01;1100148;63,1
2026-07-01;1100155;25,85
2026-07-01;1100189;23,66
2026-07-01;1100205;31,58
2026-07-01;1100254;48,92
2026-07-01;1100262;12,75
2026-07-01;1100288;33,55
2026-07-01;1100296;14,25
2026-07-01;1100304;24,57
2026-07-01;1100320;22,12
2026-07-01;1100338;18,57
2026-07-01;1100346;65,48
2026-07-01;1100379;25,41
2026-07-01;1100403;20,38
2026-07-01;1100452;35,91
2026-07-01;1100502;60,54
2026-07-01;1100601;40,05
2026-07-01;1100700;27,73
2026-07-01;1100809;16,9
2026-07-01;1100908;41,51
2026-07-01;1100924;3,92
2026-07-01;1100940;21,39
2026-07-01;1101005;13,87
2026-07-01;1101104;21,27
2026-07-01;1101203;35,95
2026-07-01;1101302;37,93
2026-07-01;1101401;21,4
2026-07-01;1101435;7,1
2026-07-01;1101450;12,88
2026-07-01;1101468;20,19
2026-07-01;1101476;27,52
2026-07-01;1101484;51,71
2026-07-01;1101492;30,03
2026-07-01;1101500;42,25
2026-07-01;1101559;23,98
2026-07-01;1101609;15,23
2026-07-01;1101708;36,58
2026-07-01;1101757;27,92
2026-07-01;1101807;20,71
2026-07-01;5100102;19,73
2026-07-01;5100201;11,8
2026-07-01;5100250;20,79
2026-07-01;5100300;6,48
2026-07-01;5100359;13,21
2026-07-01;5100409;14,03
2026-07-01;5100508;7,12
2026-07-01;5100607;2,09
2026-07-01;5100805;13,42
2026-07-01;5101001;19,61
2026-07-01;5101209;21,44
2026-07-01;5101258;17,88
2026-07-01;5101308;24,07
2026-07-01;5101407;18,79
2026-07-01;5101605;7,16
2026-07-01;5101704;32,1
2026-07-01;5101803;23,11
2026-07-01;5101837;10,4
2026-07-01;5101852;12,37
2026-07-01;5101902;17,56
2026-07-01;5102504;19,41
2026-07-01;5102603;7,68
2026-07-01;5102637;22,71
2026-07-01;5102678;25,5
2026-07-01;5102686;25,68
2026-07-01;5102694;22,73
2026-07-01;5102702;30,26
2026-07-01;5102793;17,52
2026-07-01;5102850;7,93
2026-07-01;5103007;37,67
2026-07-01;5103056;37,87
2026-07-01;5103106;37,68
2026-07-01;5103205;29,8
2026-07-01;5103254;17,62
2026-07-01;5103304;13,39
2026-07-01;5103353;17,85
2026-07-01;5103361;17,18
2026-07-01;5103379;21,55
2026-07-01;5103403;35,07
2026-07-01;5103437;1,71
2026-07-01;5103452;14,15
2026-07-01;5103502;29,44
2026-07-01;5103601;17,67
2026-07-01;5103700;27,9
2026-07-01;5103809;3,03
2026-07-01;5103858;29,05
2026-07-01;5103908;2,45
2026-07-01;5103957;33,73
2026-07-01;5104104;22,35
2026-07-01;5104203;17,02
2026-07-01;5104500;1,91
2026-07-01;5104526;14,72
2026-07-01;5104542;10,08
2026-07-01;5104559;39,29
2026-07-01;5104609;20,7
2026-07-01;5104807;27,05
2026-07-01;5104906;11,84
2026-07-01;5105002;9,52
2026-07-01;5105101;18,37
2026-07-01;5105150;10,99
2026-07-01;5105176;16,29
2026-07-01;5105200;24,64
2026-07-01;5105234;14,54
2026-07-01;5105259;21,38
2026-07-01;5105309;9,08
2026-07-01;5105507;16,49
2026-07-01;5105580;4,34
2026-07-01;5105606;18,32
2026-07-01;5105622;13,06
2026-07-01;5105903;21,53
2026-07-01;5106000;21,09
2026-07-01;5106109;19,75
2026-07-01;5106158;25,08
2026-07-01;5106174;18,91
2026-07-01;5106182;17,41
2026-07-01;5106190;29,09
2026-07-01;5106208;22,12
