cod_ibge;municipio;uf;local_mapa;latitude;longitude;acessos;share_regional;share_grande;delta_regional_pp;lider;share_lider;n_prestadoras;dens_100hab
5100102;Acorizal;MT;Acorizal, MT, Brasil;-15,194;-56,3632;968,0;77,4;1,7;77,0;Infiniti Telecom;47,5;14;19,7
5100250;Alta Floresta;MT;Alta Floresta, MT, Brasil;-9,86674;-56,0867;13100,0;92,5;1,1;25,8;Brasil TecPar;72,3;19;20,8
5100300;Alto Araguaia;MT;Alto Araguaia, MT, Brasil;-17,3153;-53,2181;1160,0;56,2;5,5;56,1;Brasil TecPar;55,0;12;6,5
5100359;Alto Boa Vista;MT;Alto Boa Vista, MT, Brasil;-11,6732;-51,3883;788,0;77,9;2,2;77,9;Ativa Connect;38,5;9;13,2
5100409;Alto Garças;MT;Alto Garças, MT, Brasil;-16,9462;-53,5272;1992,0;85,7;2,0;85,5;Brasil TecPar;76,5;12;14,0
5100508;Alto Paraguai;MT;Alto Paraguai, MT, Brasil;-14,5137;-56,4776;522,0;52,5;2,3;48,5;Brasil TecPar;38,5;10;7,1
5100607;Alto Taquari;MT;Alto Taquari, MT, Brasil;-17,8241;-53,2792;254,0;8,3;12,6;-5,9;Starlink;74,8;12;2,1
5100805;Apiacás;MT;Apiacás, MT, Brasil;-9,53981;-57,4587;1167,0;48,1;1,4;48,1;Starlink;49,7;10;13,4
5101001;Araguaiana;MT;Araguaiana, MT, Brasil;-15,7291;-51,8341;796,0;72,7;2,1;72,7;Infobarra;56,3;7;19,6
5101209;Araguainha;MT;Araguainha, MT, Brasil;-16,857;-53,0318;212,0;69,3;2,8;69,3;Hi-Teach Informatica;64,2;7;21,4
5101258;Araputanga;MT;Araputanga, MT, Brasil;-15,4641;-58,3425;2639,0;95,1;1,6;88,4;Navegaweb;65,2;13;17,9
5101308;Arenápolis;MT;Arenápolis, MT, Brasil;-14,4472;-56,8437;2597,0;94,1;1,1;80,8;Brasil TecPar;67,1;10;24,1
5101407;Aripuanã;MT;Aripuanã, MT, Brasil;-10,1723;-59,4568;5091,0;80,0;0,8;-10,1;Webnet;53,8;14;18,8
5101704;Barra do Bugres;MT;Barra do Bugres, MT, Brasil;-15,0702;-57,1878;9386,0;76,8;0,6;51,6;Rv - Net;55,1;18;32,1
5101803;Barra do Garças;MT;Barra do Garças, MT, Brasil;-15,8804;-52,264;17457,0;86,6;9,9;22,3;Brasil TecPar;45,1;24;23,1
5101605;Barão de Melgaço;MT;Barão de Melgaço, MT, Brasil;-16,2067;-55,9623;506,0;6,3;2,8;-48,2;Starlink;78,3;8;7,2
5101837;Boa Esperança do Norte;MT;Boa Esperança do Norte, MT, Brasil;-13,5067;-55,1486;622,0;100,0;0,0;100,0;Lci Telecom;94,1;4;10,4
5101852;Bom Jesus do Araguaia;MT;Bom Jesus do Araguaia, MT, Brasil;-12,1706;-51,5032;1001,0;60,1;2,0;59,6;Starlink;36,2;12;12,4
5101902;Brasnorte;MT;Brasnorte, MT, Brasil;-12,1474;-57,9833;3125,0;71,8;1,6;71,8;Brasil TecPar;64,5;12;17,6
5102603;Campinápolis;MT;Campinápolis, MT, Brasil;-14,5162;-52,893;1221,0;53,6;2,0;10,7;Starlink;40,9;15;7,7
5102637;Campo Novo do Parecis;MT;Campo Novo do Parecis, MT, Brasil;-13,6587;-57,8907;12128,0;93,2;0,7;65,0;Brasil TecPar;48,5;18;22,7
5102678;Campo Verde;MT;Campo Verde, MT, Brasil;-15,545;-55,1626;13253,0;78,3;12,2;32,1;Brasil TecPar;64,4;14;25,5
5102686;Campos de Júlio;MT;Campos de Júlio, MT, Brasil;-13,7242;-59,2858;2640,0;87,2;0,9;81,4;Agile Telecom;46,1;16;25,7
5102694;Canabrava do Norte;MT;Canabrava do Norte, MT, Brasil;-11,0556;-51,8209;1005,0;73,3;1,7;73,3;Norte.Net Telecom;44,0;10;22,7
5102702;Canarana;MT;Canarana, MT, Brasil;-13,5515;-52,2705;8772,0;89,5;0,6;29,5;Azat Internet;81,0;19;30,3
5102793;Carlinda;MT;Carlinda, MT, Brasil;-9,94912;-55,8417;1786,0;88,2;1,0;88,2;Brasil TecPar;56,8;8;17,5
5102850;Castanheira;MT;Castanheira, MT, Brasil;-11,1251;-58,6081;581,0;71,6;3,3;71,6;Brasil TecPar;69,7;9;7,9
5103007;Chapada dos Guimarães;MT;Chapada dos Guimarães, MT, Brasil;-15,4643;-55,7499;7362,0;70,2;0,8;23,2;Brasil TecPar;57,6;11;37,7
5103056;Cláudia;MT;Cláudia, MT, Brasil;-11,5075;-54,8835;3472,0;78,2;0,9;78,0;Brasil TecPar;48,4;10;37,9
5103106;Cocalinho;MT;Cocalinho, MT, Brasil;-14,3903;-51,0001;2472,0;72,0;2,6;-2,1;Ab Net Telecom;63,8;10;37,7
5103254;Colniza;MT;Colniza, MT, Brasil;-9,46121;-59,2252;4574,0;84,3;0,7;48,9;Guaribanet;36,7;15;17,6
5103205;Colíder;MT;Colíder, MT, Brasil;-10,8135;-55,461;9566,0;93,6;1,0;13,1;Net Facil Telecom;43,1;16;29,8
5103304;Comodoro;MT;Comodoro, MT, Brasil;-13,6614;-59,7848;2474,0;56,5;1,9;56,5;Starlink;40,3;16;13,4
5103353;Confresa;MT;Confresa, MT, Brasil;-10,6437;-51,5699;7028,0;87,5;0,8;10,3;Norte.Net Telecom;55,7;22;17,8
5103361;Conquista D'Oeste;MT;Conquista D'Oeste, MT, Brasil;-14,5381;-59,5444;677,0;74,4;2,2;62,9;Web Lacerda;34,1;10;17,2
5103379;Cotriguaçu;MT;Cotriguaçu, MT, Brasil;-9,85656;-58,4192;2083,0;87,8;1,6;87,8;Startnet Provedor;65,4;9;21,6
5103403;Cuiabá;MT;Cuiabá, MT, Brasil;-15,601;-56,0974;245080,0;43,5;54,8;28,4;Claro;27,7;101;35,1
5103437;Curvelândia;MT;Curvelândia, MT, Brasil;-15,6084;-57,9133;85,0;67,1;7,1;67,1;Neonet;65,9;6;1,7
5102504;Cáceres;MT;Cáceres, MT, Brasil;-16,0764;-57,6818;17841,0;65,7;27,6;32,8;Seeg Fibras;51,8;25;19,4
5103452;Denise;MT;Denise, MT, Brasil;-14,7324;-57,0583;925,0;79,8;1,4;72,2;Rv - Net;79,4;9;14,2
5103502;Diamantino;MT;Diamantino, MT, Brasil;-14,4037;-56,4366;6702,0;86,2;1,2;77,1;Brasil TecPar;60,5;23;29,4
5103601;Dom Aquino;MT;Dom Aquino, MT, Brasil;-15,8099;-54,9223;1390,0;73,5;1,7;42,7;Brasil TecPar;62,3;10;17,7
5103700;Feliz Natal;MT;Feliz Natal, MT, Brasil;-12,385;-54,9227;2925,0;75,5;0,9;53,6;Brasil TecPar;54,5;10;27,9
5103809;Figueirópolis D'Oeste;MT;Figueirópolis D'Oeste, MT, Brasil;-15,4439;-58,7391;91,0;33,0;15,4;13,1;Starlink;47,3;7;3,0
5103858;Gaúcha do Norte;MT;Gaúcha do Norte, MT, Brasil;-13,2443;-53,0809;2792,0;71,5;0,3;-22,9;Evolve Internet;71,0;10;29,0
5103908;General Carneiro;MT;General Carneiro, MT, Brasil;-15,7094;-52,7574;145,0;0,0;6,9;-5,2;Starlink;74,5;6;2,4
5103957;Glória D'Oeste;MT;Glória D'Oeste, MT, Brasil;-15,768;-58,3108;964,0;95,0;0,6;48,7;Vsp 4 Marcos;62,1;6;33,7
5104104;Guarantã do Norte;MT;Guarantã do Norte, MT, Brasil;-9,96218;-54,9121;6949,0;88,9;1,0;47,2;Brasil TecPar;59,8;19;22,4
5104203;Guiratinga;MT;Guiratinga, MT, Brasil;-16,346;-53,7575;1698,0;78,2;1,1;77,5;Brasil TecPar;77,0;10;17,0
5104500;Indiavaí;MT;Indiavaí, MT, Brasil;-15,4921;-58,5802;41,0;9,8;39,0;-36,9;Starlink;41,5;7;1,9
5104526;Ipiranga do Norte;MT;Ipiranga do Norte, MT, Brasil;-12,2408;-56,1531;1311,0;68,6;0,7;21,8;Lci Telecom;51,6;12;14,7
5104542;Itanhangá;MT;Itanhangá, MT, Brasil;-12,2259;-56,6463;853,0;57,6;1,9;-8,8;Starlink;39,6;9;10,1
5104559;Itaúba;MT;Itaúba, MT, Brasil;-11,0614;-55,2766;2059,0;84,9;1,1;40,0;Gb Online;47,2;14;39,3
5104609;Itiquira;MT;Itiquira, MT, Brasil;-17,2147;-54,1422;2620,0;63,9;1,5;13,7;Brasil TecPar;53,2;12;20,7
5104807;Jaciara;MT;Jaciara, MT, Brasil;-15,9548;-54,9733;8127,0;93,3;0,9;39,2;Brasil TecPar;57,6;14;27,0
5104906;Jangada;MT;Jangada, MT, Brasil;-15,235;-56,4917;874,0;68,5;2,1;67,8;Rv - Net;68,2;10;11,8
5105002;Jauru;MT;Jauru, MT, Brasil;-15,3342;-58,8723;716,0;83,7;6,0;35,9;Netsys Informatica;45,8;12;9,5
5105101;Juara;MT;Juara, MT, Brasil;-11,2639;-57,5244;6664,0;76,6;1,1;25,8;Brasil TecPar;43,4;16;18,4
5105176;Juruena;MT;Juruena, MT, Brasil;-10,3178;-58,3592;1623,0;85,1;2,0;42,9;Webnet;85,0;7;16,3
5105200;Juscimeira;MT;Juscimeira, MT, Brasil;-16,0633;-54,8859;2890,0;83,8;1,3;15,3;Brasil TecPar;40,1;11;24,6
5105150;Juína;MT;Juína, MT, Brasil;-11,3728;-58,7483;5385,0;64,5;23,6;50,3;Brasil TecPar;29,6;17;11,0
5105234;Lambari D'Oeste;MT;Lambari D'Oeste, MT, Brasil;-15,3188;-58,0046;669,0;80,9;1,6;45,7;Hard Tech Informatica;53,1;8;14,5
5105259;Lucas do Rio Verde;MT;Lucas do Rio Verde, MT, Brasil;-13,0588;-55,9042;21230,0;66,6;27,3;-5,4;Brasil TecPar;46,9;22;21,4
5105309;Luciara;MT;Luciara, MT, Brasil;-11,2219;-50,6676;240,0;0,0;5,0;0,0;Starlink;91,2;4;9,1
5105580;Marcelândia;MT;Marcelândia, MT, Brasil;-11,0463;-54,4377;490,0;12,7;6,3;-34,8;Starlink;77,8;12;4,3
5105606;Matupá;MT;Matupá, MT, Brasil;-10,1821;-54,9467;4122,0;84,9;1,0;44,4;Brasil TecPar;64,0;19;18,3
5105622;Mirassol d'Oeste;MT;Mirassol d'Oeste, MT, Brasil;-15,6759;-58,0951;3626,0;95,5;1,7;93,1;Vsp 4 Marcos;66,7;14;13,1
5105903;Nobres;MT;Nobres, MT, Brasil;-14,7192;-56,3284;3410,0;83,6;1,1;40,8;Asces-Net;57,7;11;21,5
5106000;Nortelândia;MT;Nortelândia, MT, Brasil;-14,454;-56,7945;1233,0;89,5;1,7;88,5;Brasil TecPar;66,1;10;21,1
5106109;Nossa Senhora do Livramento;MT;Nossa Senhora do Livramento, MT, Brasil;-15,772;-56,3432;2303,0;33,9;0,5;24,2;Starlink;54,3;10;19,8
5106158;Nova Bandeirantes;MT;Nova Bandeirantes, MT, Brasil;-9,84977;-57,8139;3641,0;83,4;0,8;57,9;Innova Informatica;59,2;12;25,1
5106208;Nova Brasilândia;MT;Nova Brasilândia, MT, Brasil;-14,9612;-54,9685;825,0;47,3;2,3;47,3;Starlink;45,9;9;22,1
5106216;Nova Canaã do Norte;MT;Nova Canaã do Norte, MT, Brasil;-10,558;-55,953;3437,0;74,5;0,8;74,5;Gb Online;50,9;10;29,4
5108808;Nova Guarita;MT;Nova Guarita, MT, Brasil;-10,312;-55,4061;1619,0;89,6;0,6;22,0;Brasil TecPar;89,6;4;35,9
5106182;Nova Lacerda;MT;Nova Lacerda, MT, Brasil;-14,4727;-59,6001;1250,0;70,6;1,2;65,8;Starlink;27,3;13;17,4
5108857;Nova Marilândia;MT;Nova Marilândia, MT, Brasil;-14,3568;-56,9696;754,0;81,3;0,9;73,3;Brasil TecPar;53,3;9;19,9
5108907;Nova Maringá;MT;Nova Maringá, MT, Brasil;-13,0136;-57,0908;829,0;39,4;1,1;-50,6;Starlink;55,6;9;14,7
5108956;Nova Monte Verde;MT;Nova Monte Verde, MT, Brasil;-9,99998;-57,5261;1612,0;83,2;1,7;55,6;Innova Informatica;50,9;14;19,0
5106224;Nova Mutum;MT;Nova Mutum, MT, Brasil;-13,8374;-56,0743;20573,0;65,4;27,5;1,2;Brasil TecPar;40,7;31;31,3
5106174;Nova Nazaré;MT;Nova Nazaré, MT, Brasil;-13,9486;-51,8002;885,0;68,1;0,6;51,5;Ab Net Telecom;66,8;9;18,9
5106232;Nova Olímpia;MT;Nova Olímpia, MT, Brasil;-14,7889;-57,2886;5806,0;95,6;0,6;91,0;Nave Net;53,3;11;36,1
5106190;Nova Santa Helena;MT;Nova Santa Helena, MT, Brasil;-10,8651;-55,1872;1330,0;82,9;0,8;13,1;Gb Online;53,1;8;29,1
5106240;Nova Ubiratã;MT;Nova Ubiratã, MT, Brasil;-12,9834;-55,2556;2392,0;52,7;0,9;24,0;Lci Telecom;43,6;17;24,1
5106257;Nova Xavantina;MT;Nova Xavantina, MT, Brasil;-14,6771;-52,3502;1669,0;70,9;3,2;22,2;Intervia Solucoes;69,9;14;6,3
5106273;Novo Horizonte do Norte;MT;Novo Horizonte do Norte, MT, Brasil;-11,4089;-57,3488;259,0;57,9;4,2;43,9;Starlink;36,3;10;8,0
5106265;Novo Mundo;MT;Novo Mundo, MT, Brasil;-9,95616;-55,2029;877,0;46,2;1,3;-19,2;Starlink;51,5;11;13,9
5106315;Novo Santo Antônio;MT;Novo Santo Antônio, MT, Brasil;-12,2875;-50,9686;244,0;4,1;4,1;2,6;Starlink;90,6;5;12,0
5106281;Novo São Joaquim;MT;Novo São Joaquim, MT, Brasil;-14,9054;-53,0194;349,0;37,0;5,4;20,8;Starlink;45,8;12;4,8
5106307;Paranatinga;MT;Paranatinga, MT, Brasil;-14,4265;-54,0524;5384,0;80,1;0,7;18,7;Virtual Connect - Internet Banda Larga;55,3;16;18,2
5106299;Paranaíta;MT;Paranaíta, MT, Brasil;-9,65835;-56,4786;1936,0;80,5;2,1;38,6;Brasil TecPar;48,2;13;15,9
5106372;Pedra Preta;MT;Pedra Preta, MT, Brasil;-16,6245;-54,4722;2606,0;81,0;1,6;59,0;Brasil TecPar;44,1;11;13,6
5106422;Peixoto de Azevedo;MT;Peixoto de Azevedo, MT, Brasil;-10,2262;-54,9794;7238,0;86,7;0,8;39,2;Brasil TecPar;54,4;15;21,4
5106455;Planalto da Serra;MT;Planalto da Serra, MT, Brasil;-14,6518;-54,7819;724,0;67,3;1,9;39,6;Brasil TecPar;38,3;8;21,5
5106505;Poconé;MT;Poconé, MT, Brasil;-16,266;-56,6261;5771,0;70,0;1,1;46,3;Brasil TecPar;69,5;12;18,5
5106653;Pontal do Araguaia;MT;Pontal do Araguaia, MT, Brasil;-15,9274;-52,3273;691,0;83,5;1,6;20,4;Infobarra;59,6;11;9,1
5106703;Ponte Branca;MT;Ponte Branca, MT, Brasil;-16,7584;-52,8369;398,0;81,9;1,5;6,4;Hi-Teach Informatica;56,8;6;18,8
5106752;Pontes e Lacerda;MT;Pontes e Lacerda, MT, Brasil;-15,2219;-59,3435;9494,0;77,9;13,0;35,5;Web Lacerda;53,3;21;16,7
5106778;Porto Alegre do Norte;MT;Porto Alegre do Norte, MT, Brasil;-10,8761;-51,6357;2614,0;88,3;0,9;88,0;Norte.Net Telecom;64,6;14;20,5
5106828;Porto Esperidião;MT;Porto Esperidião, MT, Brasil;-15,857;-58,4619;1991,0;86,5;2,0;25,6;J S Informatica & Neonet;69,9;12;19,9
5106851;Porto Estrela;MT;Porto Estrela, MT, Brasil;-15,3235;-57,2204;604,0;71,4;1,2;59,1;Rv - Net;38,9;11;19,5
